"game_id","season","season_type","home_team_name","away_team_name"
"401267427",2021,2,"Portland","Oklahoma City"
"401267428",2021,2,"Atlanta","LA"
"401267429",2021,2,"Houston","Washington"
"401267430",2021,2,"Utah","New York"
"401267431",2021,2,"Charlotte","Indiana"
"401267432",2021,2,"Cleveland","Detroit"
"401267433",2021,2,"Orlando","Sacramento"
"401267434",2021,2,"Atlanta","Brooklyn"
"401267435",2021,2,"Miami","Denver"
"401267436",2021,2,"Philadelphia","Los Angeles"
"401267437",2021,2,"Toronto","Milwaukee"
"401267439",2021,2,"New Orleans","Washington"
"401267440",2021,2,"San Antonio","Boston"
"401267441",2021,2,"Phoenix","Oklahoma City"
"401267442",2021,2,"Utah","Dallas"
"401267443",2021,2,"Golden State","Minnesota"
"401267444",2021,2,"Detroit","Los Angeles"
"401267445",2021,2,"Miami","LA"
"401267446",2021,2,"Phoenix","Golden State"
"401267447",2021,2,"Houston","Portland"
"401267448",2021,2,"Charlotte","Indiana"
"401267449",2021,2,"Orlando","LA"
"401267450",2021,2,"Washington","Atlanta"
"401267451",2021,2,"New York","Cleveland"
"401267452",2021,2,"Toronto","Sacramento"
"401267453",2021,2,"New Orleans","Milwaukee"
"401267454",2021,2,"Minnesota","Philadelphia"
"401267455",2021,2,"Oklahoma City","Brooklyn"
"401267456",2021,2,"San Antonio","Denver"
"401267457",2021,2,"Utah","Dallas"
"401267458",2021,2,"Chicago","Portland"
"401267459",2021,2,"Charlotte","Milwaukee"
"401267460",2021,2,"New Orleans","Houston"
"401267461",2021,2,"Miami","Sacramento"
"401267462",2021,2,"Boston","Los Angeles"
"401267463",2021,2,"Dallas","Phoenix"
"401267464",2021,2,"San Antonio","Memphis"
"401267465",2021,2,"Golden State","Detroit"
"401267466",2021,2,"Denver","Utah"
"401267467",2021,2,"Indiana","Philadelphia"
"401267468",2021,2,"New York","LA"
"401267469",2021,2,"Toronto","Orlando"
"401267470",2021,2,"Washington","Brooklyn"
"401267471",2021,2,"Minnesota","Cleveland"
"401267472",2021,2,"Cleveland","Minnesota"
"401267473",2021,2,"Atlanta","Los Angeles"
"401267474",2021,2,"Miami","Charlotte"
"401267475",2021,2,"Chicago","New York"
"401267476",2021,2,"Milwaukee","Portland"
"401267477",2021,2,"New Orleans","Sacramento"
"401267478",2021,2,"Oklahoma City","Houston"
"401267479",2021,2,"Dallas","Phoenix"
"401267480",2021,2,"San Antonio","Memphis"
"401267482",2021,2,"Indiana","Memphis"
"401267483",2021,2,"Orlando","Toronto"
"401267484",2021,2,"Brooklyn","LA"
"401267485",2021,2,"Utah","Detroit"
"401267486",2021,2,"Golden State","Boston"
"401267487",2021,2,"Charlotte","Philadelphia"
"401267488",2021,2,"Cleveland","LA"
"401267489",2021,2,"Milwaukee","Indiana"
"401267490",2021,2,"Atlanta","Dallas"
"401267491",2021,2,"Miami","Washington"
"401267492",2021,2,"Chicago","New York"
"401267493",2021,2,"Oklahoma City","Houston"
"401267494",2021,2,"San Antonio","Minnesota"
"401267495",2021,2,"New Orleans","Phoenix"
"401267496",2021,2,"Sacramento","Boston"
"401267497",2021,2,"Philadelphia","Portland"
"401267498",2021,2,"Atlanta","Utah"
"401267499",2021,2,"Dallas","Golden State"
"401267500",2021,2,"Memphis","Houston"
"401267501",2021,2,"Los Angeles","Denver"
"401267502",2021,2,"Charlotte","Utah"
"401267503",2021,2,"Indiana","New Orleans"
"401267504",2021,2,"Orlando","Chicago"
"401267505",2021,2,"Brooklyn","Toronto"
"401267506",2021,2,"Cleveland","Milwaukee"
"401267507",2021,2,"Miami","Washington"
