"game_id","season","season_type","home_team_name","away_team_name"
"401261567",NA,NA,NA,NA
"401261582",NA,NA,NA,NA
"401261598",NA,NA,NA,NA
"401261604",NA,NA,NA,NA
"401261657",NA,NA,NA,NA
"401261658",NA,NA,NA,NA
"401261664",NA,NA,NA,NA
"401261718",NA,NA,NA,NA
"401261729",NA,NA,NA,NA
"401261741",NA,NA,NA,NA
"401261747",NA,NA,NA,NA
"401262078",NA,NA,NA,NA
"401262087",NA,NA,NA,NA
"401262097",NA,NA,NA,NA
"401262098",NA,NA,NA,NA
"401262106",NA,NA,NA,NA
"401262108",NA,NA,NA,NA
"401262138",NA,NA,NA,NA
"401262143",NA,NA,NA,NA
"401262158",NA,NA,NA,NA
"401262163",NA,NA,NA,NA
"401262175",NA,NA,NA,NA
"401262183",NA,NA,NA,NA
"401262233",NA,NA,NA,NA
"401262284",NA,NA,NA,NA
"401262396",NA,NA,NA,NA
"401262403",NA,NA,NA,NA
"401262405",NA,NA,NA,NA
"401262416",NA,NA,NA,NA
"401262422",NA,NA,NA,NA
"401262442",NA,NA,NA,NA
"401262501",NA,NA,NA,NA
"401262563",NA,NA,NA,NA
"401262566",NA,NA,NA,NA
"401262567",NA,NA,NA,NA
"401262598",NA,NA,NA,NA
"401262607",NA,NA,NA,NA
"401262612",NA,NA,NA,NA
"401262673",NA,NA,NA,NA
"401262695",NA,NA,NA,NA
"401262865",NA,NA,NA,NA
"401262871",NA,NA,NA,NA
"401263088",NA,NA,NA,NA
"401263089",NA,NA,NA,NA
"401263275",NA,NA,NA,NA
"401263320",NA,NA,NA,NA
"401263423",NA,NA,NA,NA
"401263443",NA,NA,NA,NA
"401264119",NA,NA,NA,NA
"401264404",NA,NA,NA,NA
"401264406",NA,NA,NA,NA
"401264442",NA,NA,NA,NA
"401264449",NA,NA,NA,NA
"401264452",NA,NA,NA,NA
"401264462",NA,NA,NA,NA
"401264543",NA,NA,NA,NA
"401264544",NA,NA,NA,NA
"401264576",NA,NA,NA,NA
"401264600",NA,NA,NA,NA
"401264634",NA,NA,NA,NA
"401264635",NA,NA,NA,NA
"401264967",NA,NA,NA,NA
"401265035",NA,NA,NA,NA
"401265053",NA,NA,NA,NA
"401265058",NA,NA,NA,NA
"401265295",NA,NA,NA,NA
"401265323",NA,NA,NA,NA
"401265357",NA,NA,NA,NA
"401265371",NA,NA,NA,NA
"401265410",NA,NA,NA,NA
"401265733",NA,NA,NA,NA
"401265735",NA,NA,NA,NA
"401265777",NA,NA,NA,NA
"401265779",NA,NA,NA,NA
"401265813",NA,NA,NA,NA
"401265825",NA,NA,NA,NA
"401265874",NA,NA,NA,NA
"401266521",NA,NA,NA,NA
"401266545",NA,NA,NA,NA
